133,1313,10284,Boorowa Central School,Pudman St,234.6,np,945,Central/Community School,Coed,3614,2586,Boorowa,20170307
134,1318,10494,Boree Creek Public School,Lockhart-Morundah Rd,21,0,931,Primary School,Coed,4093,2652,Boree Creek,20170307
135,1320,7730,Boronia Park Public School,113 Pittwater Rd,488,25,1131,Primary School,Coed,662,2110,Hunters Hill,20170307
136,1321,8551,Bossley Park Public School,Marconi Rd,413,82,983,Primary School,Coed,854,2176,Bossley Park,20170307
137,1323,6494,Botany Public School,1076 Botany Rd,266,48,1059,Primary School,Coed,350,2019,Botany,20170307
138,1326,11062,Bourke Public School,19 Green Street,227,np,738,Primary School,Coed,5030,2840,Bourke,20170307
139,1334,10277,Bowning Public School,147 Bowning Road,28,0,924,Primary School,Coed,3568,2582,Bowning,20170307
140,1335,10240,Bowral Public School,Bendooley Street,603,11,1075,Primary School,Coed,3464,2576,Bowral,20170307
141,1336,6363,Bowraville Central School,23 High Street,254.4,3,845,Central/Community School,Coed,2371,2449,Bowraville,20170307
142,1340,10415,Braidwood Central School,Wilson St,376,7,982,Central/Community School,Coed,3798,2622,Braidwood,20170307
143,1341,9331,Branxton Public School,12 King Street,355,2,959,Primary School,Coed,1543,2335,Branxton,20170307
144,1345,10272,Breadalbane Public School,Collector Road,10,np,971,Primary School,Coed,3551,2581,Breadalbane,20170307
145,1346,10739,Colo Heights Public School,3018 Putty Road,53,0,914,Primary School,Coed,4480,2756,Colo Heights,20170307
146,1347,10422,Bredbo Public School,Monaro Hwy,12,0,1049,Primary School,Coed,3845,2626,Bredbo,20170307
147,1350,6450,Brewarrina Central School,Bourke Street,145.8,np,655,Central/Community School,Coed,5025,2839,Brewarrina,20170307
148,1354,10295,Bribbaree Public School,Weedallion St,12,0,865,Primary School,Coed,3639,2594,Bribbaree,20170307
149,1358,16179,Brighton-Le-Sands Public School,35 Crawford Road,753,79,1059,Primary School,Coed,922,2216,Brighton-Le-Sands,20170307
150,1360,8547,Bringelly Public School,1205 The Northern Road,132,29,927,Primary School,Coed,3363,2556,Bringelly,20170307
151,1361,9747,Broadwater Public School,Pacific Hwy,44,np,973,Primary School,Coed,2680,2472,Broadwater,20170307
152,1363,10451,Brocklesby Public School,65 Main St,17,0,990,Primary School,Coed,3973,2642,Brocklesby,20170307
153,1367,9314,Broke Public School,Cochrane St,74,np,942,Primary School,Coed,1469,2330,Broke,20170307
154,1369,11111,Broken Hill Public School,Mica St,186,8,910,Primary School,Coed,5275,2880,Broken Hill,20170307
155,1371,11110,Broken Hill North Public School,Chapple St,254,7,860,Primary School,Coed,5275,2880,Broken Hill,20170307
156,1372,6923,Bronte Public School,Hewlett St,430,17,1162,Primary School,Coed,450,2024,Bronte,20170307
157,1377,8694,Brooklyn Public School,106 Brooklyn Rd,84,16,1068,Primary School,Coed,586,2083,Brooklyn,20170307
158,1379,7709,Brookvale Public School,Old Pittwater Rd,246,54,1037,Primary School,Coed,631,2100,Brookvale,20170307
159,1387,16180,Brungle Public School,2 Brungle School Rd,11,0,,Primary School,Coed,4355,2722,Brungle,20170307
160,1389,9909,Brunswick Heads Public School,Fingal St,148,10,1005,Primary School,Coed,2887,2483,Brunswick Heads,20170307
161,1402,6431,Bulahdelah Central School,8 Meade Street,406.6,2,931,Central/Community School,Coed,2064,2423,Bulahdelah,20170307
162,1411,9992,Bulli Public School,Haig Rd,192,11,1059,Primary School,Coed,3018,2516,Bulli,20170307
163,1414,10251,Bundanoon Public School,Church St,191,5,1039,Primary School,Coed,3501,2578,Bundanoon,20170307
164,1415,9397,Bundarra Central School,Bowline Street,142,np,863,Central/Community School,Coed,1755,2359,Bundarra,20170307
165,1421,10413,Bungendore Public School,Gibraltar St,489,6,1060,Primary School,Coed,3784,2621,Bungendore,20170307
166,1424,9529,Bungwahl Public School,56 Seal Rocks Road,41,np,996,Primary School,Coed,2065,2423,Bungwahl,20170307
167,1425,10674,Bunnaloo Public School,Fitzroy St,46,0,1047,Primary School,Coed,4399,2731,Bunnaloo,20170307
168,1432,11112,Burke Ward Public School,Rakow St,321,3,911,Primary School,Coed,5275,2880,Broken Hill,20170307
169,1433,16153,Burnside Public School,1 Masons Drive,236,58,1128,Primary School,Coed,386,2151,North Parramatta,20170307
170,1445,10245,Burrawang Public School,Church St,31,np,1090,Primary School,Coed,3477,2577,Burrawang,20170307
171,1447,9491,Burren Junction Public School,Alma St,54,np,998,Primary School,Coed,1901,2386,Burren Junction,20170307
172,1449,9910,Burringbar Public School,59 Burringbar Road,64,np,978,Primary School,Coed,2888,2483,Burringbar,20170307
173,1453,10452,Burrumbuttock Public School,Howlong Rd,31,0,1014,Primary School,Coed,3974,2642,Burrumbuttock,20170307
174,1455,7779,Burwood Public School,1-3 Conder Street,629,96,1090,Primary School,Coed,392,2134,Burwood,20170307
175,1460,10229,Buxton Public School,Hassall Rd,164,np,961,Primary School,Coed,3433,2571,Buxton,20170307
176,1470,9903,Byron Bay Public School,17 Kingsley St,667,16,1062,Primary School,Coed,2866,2481,Byron Bay,20170307
177,1471,9762,Cabbage Tree Island Public School,Cabbage Tree Island Rd,14,0,,Primary School,Coed,2757,2477,Cabbage Tree Island,20170307
178,1472,8163,Cabramatta Public School,Levuka St,727,95,933,Primary School,Coed,817,2166,Cabramatta,20170307
179,1481,10068,Cambewarra Public School,Kalinga St,307,6,1008,Primary School,Coed,3202,2540,Cambewarra,20170307
180,1482,10220,Camden Public School,John St,295,7,1027,Primary School,Coed,3413,2570,Camden,20170307
181,1483,7591,Camdenville Public School,Laura St,256,27,1098,Primary School,Coed,499,2042,Newtown,20170307
182,1485,7611,Cammeray Public School,Palmer St,956,25,1184,Primary School,Coed,531,2062,Cammeray,20170307
183,1486,10203,Campbelltown Public School,Lithgow St,322,36,953,Primary School,Coed,3376,2560,Campbelltown,20170307
184,1488,8564,Campsie Public School,Evaline St,760,97,1022,Primary School,Coed,875,2194,Campsie,20170307
185,1490,10186,Candelo Public School,William St,65,np,959,Primary School,Coed,3305,2550,Candelo,20170307
186,1492,9783,Caniaba Public School,Caniaba Rd,76,np,990,Primary School,Coed,2833,2480,Lismore,20170307
187,1494,8517,Canley Vale Public School,Canley Vale Rd,858,96,945,Primary School,Coed,820,2166,Canley Vale,20170307
188,1495,11004,Canobolas Public School,Canobolas Rd,109,6,1040,Primary School,Coed,4814,2800,Orange,20170307
189,1497,8561,Canterbury Public School,Church St,307,57,1066,Primary School,Coed,873,2193,Canterbury,20170307
190,1498,8671,Brisbania Public School,1 High Street,458,7,1026,Primary School,Coed,1036,2251,Saratoga,20170307
191,1499,10506,Uranquinty Public School,Pearson Street,31,0,960,Primary School,Coed,4109,2652,Uranquinty,20170307
192,1501,11069,Capertee Public School,Castlereagh Hwy,14,0,1089,Primary School,Coed,5050,2846,Capertee,20170307
193,1502,10414,Captains Flat Public School,14 Montgomery St,40,np,940,Primary School,Coed,3840,2623,Captains Flat,20170307
194,1503,11025,Caragabal Public School,Marsden & Wheoga Sts,26,0,1013,Primary School,Coed,4839,2810,Caragabal,20170307
195,1504,10966,Carcoar Public School,Icely St,10,np,1069,Primary School,Coed,4665,2791,Carcoar,20170307
196,1505,9003,Cardiff Public School,Macquarie Rd,217,5,967,Primary School,Coed,1207,2285,Cardiff,20170307
197,1506,11005,Cargo Public School,Hutton St,19,0,889,Primary School,Coed,4796,2800,Cargo,20170307
198,1507,11046,Carinda Public School,Macnamara St,17,0,998,Primary School,Coed,4976,2831,Carinda,20170307
199,1508,8651,Caringbah Public School,Port Hacking Rd,258,18,1069,Primary School,Coed,360,2229,Caringbah,20170307
